"","idrun","id","run","social","PR.WS","PR.LS","PR.WL","PR.LL","dmPFC.WS","dmPFC.LS","dmPFC.WL","dmPFC.LL","lTPJ.WS","lTPJ.LS","lTPJ.WL","lTPJ.LL","lTP.WS","lTP.LS","lTP.WL","lTP.LL","nAc.WS","nAc.LS","nAc.WL","nAc.LL","rTPJ.WS","rTPJ.LS","rTPJ.WL","rTPJ.LL","rTP.WS","rTP.LS","rTP.WL","rTP.LL","vmPFC.WS","vmPFC.LS","vmPFC.WL","vmPFC.LL"
"1",1001,1,1,"non-social",-1.2822459852231,-1.38944386568316,-0.0581758090198394,-0.550758045981714,-0.0396351970160776,-0.271620243422554,-0.50709612090786,0.125716937984441,-0.106647288326208,-0.795846839402188,0.0104804726676641,0.861454598870499,-0.790757341562127,-0.647375505820592,0.0452509512019387,1.03922573547587,0.908480339369474,-0.0785617697432674,0.170316269266489,1.64974642070813,-0.945320528708691,-1.52049498204386,0.990688889842726,1.32611834484458,-0.53712045174444,-0.33408229095087,0.284043584159849,0.961096542568047,-1.43193680045161,-0.494729789083098,0.853064633620466,0.710392445879171
"2",1002,1,2,"non-social",0.450513162874353,0.100841471739795,-0.771486725517588,-1.13635977152663,-0.514080797641833,-0.414887650932215,-1.27631176691796,-1.21788241375079,0.0534359802154087,-0.395444538268178,-0.351403185979697,0.0728325034451478,-0.598755086413427,0.218357895915297,-0.189344917340994,0.0485076762362208,-0.639810160047826,1.14672386221722,0.785897079589973,1.29332990591769,-0.557161146735066,1.22841084275545,0.180323218200891,1.50297450236881,-0.0791075123431797,0.148940893570024,-0.107382161877594,-0.0891172862443022,-0.237672554427707,-1.40114984256866,-0.542516221442691,-0.859084765262318
"3",1003,1,3,"non-social",-1.87715366847795,-1.68484267982954,-0.898902065577288,-1.32734950262073,-0.522118397547368,-1.9569786499639,-0.155120668453618,-0.1975457429185,-1.40248611593059,-1.16642413909843,0.465038947030264,0.260847727574774,-1.19890623810866,-1.42517712982242,0.345860859140231,0.127873747454205,-0.343499419195535,-0.856857952350779,0.551236183684171,-0.0690820775287535,-1.0537746313194,-0.296887485235459,-0.0218735414562568,0.429312596728368,-0.232856475432014,-0.233911109387257,-0.329360489576696,-0.469684966058799,-0.580826867948794,-1.31991343335984,0.331830345405391,0.42782305349072
"4",2001,2,1,"non-social",-2.76506497975135,-3.45711863099936,-0.417483911269032,-1.72445802032348,-2.19589092671921,-2.66039810689256,-0.203263034253528,-0.439088542855701,-2.21707370903689,-1.95071908299849,-0.48512335997808,-0.691164802516859,-1.93461903145277,-2.38076194185098,-0.352190088220728,-0.893852921127957,0.978530803691234,0.121992030776074,2.45912716898799,0.300793193174488,-0.962852237895494,-0.929572842550025,2.07760363677373,1.62259144068999,-1.3320994589208,-1.65559451913243,0.412029749531447,-0.0395668782133454,-2.02626760191797,-2.36357509818745,-0.547334540352466,-0.926495047227583
"5",2002,2,2,"non-social",-0.316990768526096,-2.87058411830105,-0.593740794208643,-2.96710854486112,-0.233119337622981,-1.71200799329436,-0.261522890203994,-2.16882608394035,-0.208739156118087,-1.17192382042956,-1.00966019789169,-1.73660911072159,-0.0565781989841268,-1.01940494316624,-1.0082070678633,-1.71983723894372,1.85610969398576,-0.355048996973203,1.12099737139974,-0.0802861017042721,1.63605639308477,0.456914578966874,0.939134562885084,-0.213856554722368,0.544437365689062,-0.420642050934375,-0.659047087497957,-0.702888575480632,0.112415644077549,-1.63985045801605,-0.913079396251208,-2.57539756656259
"6",2003,2,3,"non-social",-2.13985733541727,-3.02522048700689,-2.97572858770342,-2.37186564365493,-2.21097609796595,-2.63939499829313,-2.17018245962218,-1.09427919275487,-1.62574786126195,-1.64821934035466,-1.55534742273494,-1.4104982148903,-1.30125419581727,-1.20284937041387,-1.63734754079923,-1.08048756261062,1.18499457837151,-0.931646764905345,0.15331091194172,-0.750512776285299,-1.06674060380132,-0.45465443006416,-0.895069620705489,-0.187064941829356,0.100742820315524,-0.031006659412455,-0.673268261374146,-0.736855697197329,-0.367215754099682,-0.437197381890385,-1.18144912029871,-0.675725786810268
"7",3001,3,1,"non-social",-0.114724908807339,-0.269000847369766,0.99669648104957,-0.263340874256476,-0.0899924755833292,-1.48258008745986,0.251700325950536,0.814809410700586,0.834192004128279,0.442069114701182,1.14037193957388,1.17631556724796,-0.667652935780077,-1.25930726683424,0.0834424319982645,-0.0509392686928726,-0.519310410505901,-1.16828693018725,0.896005919898112,-1.174190414961,0.282668293379877,-0.0426879137911577,1.20991948021143,1.44194060336328,-0.790524301035545,-2.23450634993471,0.19997486791567,-0.328935399192703,-1.20886813747636,-2.80049781011637,0.604205898645816,-0.144083862352055
"8",3002,3,2,"non-social",0.99289337941756,0.00589834356407579,0.108969696458924,0.854965731151736,0.134186562519043,-0.285058372074865,-0.361640642328812,0.165994665547895,0.383081032545307,-0.435557287889804,0.820891456069836,0.615855369410082,-0.0312944747744588,-0.0509790611863059,-0.775746367948458,-0.313036987271856,0.979770548809736,0.267383518452729,-0.933244579358739,-1.42911874314104,0.402331073113469,-1.24034418694047,0.975753634270885,0.362926718881763,0.465194287515329,0.535832212888061,-0.697535748675604,-0.700651339089573,-0.384744354737235,-0.0750639027367358,-0.647660648284626,-0.50626349256664
"9",3003,3,3,"non-social",0.42450386211266,1.65251401325203,-1.85867143908839,0.461369169071848,0.774300635993592,0.240248465613842,-2.83536528834912,0.803786849034019,0.977491307068235,0.65991454220269,0.759578735699323,2.15509356707579,-0.208939201636182,0.00675214216503228,0.134561347503947,1.41715343387849,-0.805277652303577,-1.26755325900465,0.676140502926011,1.31793077117506,1.18164511749262,0.959904277997994,0.097866923195733,2.60808639032032,-0.244562245531496,-0.225860990751839,-0.690192335186727,1.2486889913914,-0.252994441791996,0.462320102884668,-1.22450043049123,0.896689861723786
"10",4001,4,1,"non-social",-0.292571921252326,-1.14113737530878,0.148803470561279,-0.48612413387907,0.324913726607107,-0.15278658874587,0.0629658991674861,-0.115508021105131,-0.397715088748784,-0.878450309578601,-0.328920439694968,-0.581699429001463,0.1359556453364,-0.614288636195596,-0.023259771223714,-0.798188395194846,2.3304403147942,0.30972941023687,2.30723809416834,0.320028862367897,0.715048383098778,0.821156332611178,-0.198480589108666,0.0173665631641559,0.488604186626727,-0.218933502660735,-0.796819570300641,-0.827923184403424,-0.633638172740174,-1.40415415110651,-0.206089985364293,-1.49317148143882
